Бренд,Код товара,Наименование товара,Категория1,Категория2,Категория3,Категория4,Сегмент,Цена закупки товара,letu.ru,iledebeaute.ru,rivegauche.ru,Ozon,Wildberries,MagnitMarket,Megamarket,lamoda.ru,tsum.ru,visagehall.ru,Наценка,Уровень_правила,Цена_до_скидки,Мин_цена_конкурента,Кто_минимум,Цена_мин_маржа10,Цель_цена_минимум_рынка,Можно_быть_минимумом_с_маржой10,Рекоменд_цена,Рекоменд_скидка
Vivienne Sabo,19000279810,Vivienne Sabo Плампер д/губ Le grand Volume 05 3мл,Макияж,Губы,Плампер для губ,,Массмаркет,185,279.0,260.0,246.0,212.0,197.0,193.0,,,,,0.59,brand,294.15,193.0,MagnitMarket,205.55555555555554,192.0,False,205.55555555555554,0.30118798043326345
Vivienne Sabo,3232400003,"Vivienne Sabo Карандаш д/глаз гелевый Virtuose 603 1,5гр",Макияж,Глаза,Карандаш для глаз,,Массмаркет,182,259.0,244.0,261.0,190.0,192.0,194.0,314.0,192.0,,,0.85,brand_cat3,336.7,190.0,Ozon,202.22222222222223,189.0,False,202.22222222222223,0.3993993993993994
Clarins,19000141132,Clarins Гель п/бритья MEN 75мл,Уход,Бритье_мужское,После бритья,Гель после бритья,Люкс,1307,,1859.0,1913.0,1743.0,,,,1801.0,2780.0,1917.0,1.03,brand,2653.2100000000005,1743.0,Ozon,1452.2222222222222,1742.0,True,1742.0,0.3434368180430498
Clarins,19000000360,CLARINS Молочко д/лица и тела с эффектом загара 125мл,Уход,Солнечная серия/авто загары,Авто загар,,Люкс,871,,1296.0,1165.0,,,,,1408.0,1755.0,,1.07,brand_cat3,1802.9700000000003,1165.0,rivegauche.ru,967.7777777777777,1164.0,True,1164.0,0.3543985756834557
Vivienne Sabo,3232400005,"Vivienne Sabo Карандаш д/глаз гелевый Virtuose 605 1,5гр",Макияж,Глаза,Карандаш для глаз,,Массмаркет,245,355.0,360.0,335.0,257.0,268.0,265.0,,,,,0.85,brand_cat3,453.25,257.0,Ozon,272.22222222222223,256.0,False,272.22222222222223,0.3993993993993994
Vivienne Sabo,19000205235,"Vivienne Sabo Масло д/губ Sirop de Fruits 05 3,5мл",Макияж,Губы,Масло для губ_макияж,,Массмаркет,182,249.0,,262.0,191.0,220.0,263.0,,269.0,,,0.59,brand,289.38,191.0,Ozon,202.22222222222223,190.0,False,202.22222222222223,0.30118798043326345
Vivienne Sabo,19000128394,Vivienne Sabo Блеск д/губ Tropique 02 3мл,Макияж,Губы,Блеск для губ,,Массмаркет,160,235.0,215.0,216.0,180.0,168.0,238.0,,255.0,,,0.38,brand_cat3,220.79999999999998,168.0,Wildberries,177.77777777777777,167.0,False,177.77777777777777,0.19484702093397743
Vivienne Sabo,19000023583,Vivienne Sabo Помада д/губ Nude Createur 08 4гр,Макияж,Губы,Помада для губ,,Массмаркет,196,284.0,298.0,261.0,206.0,235.0,278.0,,228.0,,295.0,0.59,brand,311.64,206.0,Ozon,217.77777777777777,205.0,False,217.77777777777777,0.30118798043326345
Vivienne Sabo,19760306117,Vivienne Sabo Блеск д/губ Le grand Volume 08 3мл,Макияж,Губы,Блеск для губ,,Массмаркет,213,299.0,307.0,278.0,224.0,313.0,284.0,,333.0,,,0.38,brand_cat3,293.94,224.0,Ozon,236.66666666666666,223.0,False,236.66666666666666,0.19484702093397743
Vivienne Sabo,19000398452,"Vivienne Sabo Тени д/век Hypnostique 03 0,6гр",Макияж,Глаза,Тени для век,,Массмаркет,309,439.0,427.0,435.0,325.0,397.0,,,,,,0.59,brand,491.30999999999995,325.0,Ozon,343.3333333333333,324.0,False,343.3333333333333,0.30118798043326345
Clarins,19000359935,CLARINS Тональный крем д/лица Skin Illusion 109C 30мл,Макияж,Лицо,Тональные основы,Жидкие тональные основы,Люкс,1983,,,2665.0,,,,,,,2864.0,1.03,brand,4025.4900000000007,2665.0,rivegauche.ru,2203.3333333333335,2664.0,True,2664.0,0.338217210824024
Vivienne Sabo,19000237886,"Vivienne Sabo Карандаш-каял д/глаз гелевый Virtuose 07 1,1гр",Макияж,Глаза,Карандаш для глаз,,Массмаркет,288,508.0,426.0,426.0,320.0,315.0,427.0,484.0,304.0,,,0.85,brand_cat3,532.8000000000001,304.0,lamoda.ru,320.0,303.0,False,320.0,0.3993993993993995
Vivienne Sabo,19760304888,"Vivienne Sabo Карандаш д/губ Le grand Volume 02 1,35гр",Макияж,Губы,Карандаш для губ,,Массмаркет,299,422.0,406.0,417.0,316.0,438.0,422.0,540.0,462.0,,,0.77,brand_cat3,529.23,316.0,Ozon,332.22222222222223,315.0,False,332.22222222222223,0.37225360954174513
Clarins,19000359928,CLARINS Тональный крем д/лица Skin Illusion 100C 30мл,Макияж,Лицо,Тональные основы,Жидкие тональные основы,Люкс,2187,,,3009.0,,,,,,,2951.0,1.03,brand,4439.610000000001,2951.0,visagehall.ru,2430.0,2950.0,True,2950.0,0.33552721973326494
Clarins,15020100146,Кларанс Масло д/лица Голубая орхидея д/обезвоженной кожи 30мл,Уход,Уход за лицом,Основной уход,Масло для лица,Люкс,1320,,1929.0,1907.0,1856.0,,,,1783.0,2444.0,1892.0,1.03,brand,2679.6000000000004,1783.0,lamoda.ru,1466.6666666666667,1782.0,True,1782.0,0.3349753694581281
Vivienne Sabo,19000128406,Vivienne Sabo Блеск д/губ Tropique 14 3мл,Макияж,Губы,Блеск для губ,,Массмаркет,160,235.0,222.0,230.0,182.0,184.0,227.0,176.0,170.0,,,0.38,brand_cat3,220.79999999999998,170.0,lamoda.ru,177.77777777777777,169.0,False,177.77777777777777,0.19484702093397743
Vivienne Sabo,19760306114,Vivienne Sabo Блеск д/губ Le grand Volume 05 3мл,Макияж,Губы,Блеск для губ,,Массмаркет,304,425.0,430.0,425.0,323.0,441.0,452.0,,503.0,,,0.38,brand_cat3,419.52,323.0,Ozon,337.77777777777777,322.0,False,337.77777777777777,0.19484702093397743
Vivienne Sabo,19000128401,Vivienne Sabo Блеск д/губ Tropique 09 3мл,Макияж,Губы,Блеск для губ,,Массмаркет,128,173.0,,,,,,136.0,,,,0.38,brand_cat3,176.64,136.0,Megamarket,142.22222222222223,135.0,False,142.22222222222223,0.19484702093397732
Clarins,19000359936,CLARINS Тональный крем д/лица Skin Illusion 110N 30мл,Макияж,Лицо,Тональные основы,Жидкие тональные основы,Люкс,2333,,3472.0,3224.0,3341.0,,,,,,3168.0,2.5,product,8165.5,3168.0,visagehall.ru,2592.222222222222,3167.0,True,3167.0,0.6121486743004103
Clarins,19000149519,Clarins Молочко д/душа Eau Ressourcante200мл,Уход,Уход за телом,Молочко для тела,,Люкс,1104,,1502.0,1619.0,1644.0,,,,1603.0,2349.0,1522.0,0.86,brand_cat3,2053.44,1502.0,iledebeaute.ru,1226.6666666666667,1501.0,True,1501.0,0.26903147888421386
Clarins,15020200041,Clarins Бальзам д/лица интенсивно увлажняющий MEN Baume Super Hydratant 50мл,Уход,Уход за лицом,Основной уход,Бальзам для лица,Люкс,1893,,2580.0,2583.0,2749.0,,,,2648.0,3637.0,2749.0,1.03,brand,3842.7900000000004,2580.0,iledebeaute.ru,2103.3333333333335,2579.0,True,2579.0,0.32887303235409693
Vivienne Sabo,19000023576,Vivienne Sabo Помада д/губ Nude Createur 01 4гр,Макияж,Губы,Помада для губ,,Массмаркет,174,,240.0,241.0,212.0,215.0,254.0,186.0,242.0,,,0.59,brand,276.65999999999997,186.0,Megamarket,193.33333333333331,185.0,False,193.33333333333331,0.30118798043326345
Clarins,19000036411,"CLARINS Крем для повышения упругости кожи тела Body Firming, 200мл",Уход,Уход за телом,Крем для тела,,Люкс,2403,,3577.0,3331.0,3528.0,,,,3528.0,4760.0,3283.0,1.06,brand_cat3,4950.18,3283.0,visagehall.ru,2670.0,3282.0,True,3282.0,0.3369938062858321
Vivienne Sabo,3234600004,"Vivienne Sabo Карандаш-каял д/глаз гелевый Virtuose 04 1,1гр",Макияж,Глаза,Карандаш для глаз,,Массмаркет,307,424.0,437.0,443.0,329.0,337.0,427.0,553.0,466.0,,,0.85,brand_cat3,567.95,329.0,Ozon,341.1111111111111,328.0,False,341.1111111111111,0.3993993993993995
Clarins,19000359926,CLARINS Тональный крем д/лица Skin Illusion 100.3N 30мл,Макияж,Лицо,Тональные основы,Жидкие тональные основы,Люкс,2537,,,3525.0,,,,,,,3472.0,1.03,brand,5150.110000000001,3472.0,visagehall.ru,2818.8888888888887,3471.0,True,3471.0,0.3260338128700164
Vivienne Sabo,19000023580,Vivienne Sabo Помада д/губ Nude Createur 05 4гр,Макияж,Губы,Помада для губ,,Массмаркет,367,530.0,558.0,543.0,394.0,427.0,520.0,429.0,493.0,,537.0,0.59,brand,583.53,394.0,Ozon,407.77777777777777,393.0,False,407.77777777777777,0.30118798043326345
Vivienne Sabo,19000128408,Vivienne Sabo Блеск д/губ Tropique 16 3мл,Макияж,Губы,Блеск для губ,,Массмаркет,295,426.0,434.0,433.0,336.0,340.0,442.0,317.0,476.0,,,0.38,brand_cat3,407.09999999999997,317.0,Megamarket,327.77777777777777,316.0,False,327.77777777777777,0.19484702093397743
Clarins,19000217063,Clarins Крем д/лица Тонизирующий 50мл,Уход,Уход за лицом,Основной уход,Крем для лица,Люкс,2067,,3076.0,2838.0,2973.0,,,,,,3076.0,1.03,brand,4196.01,2838.0,rivegauche.ru,2296.6666666666665,2837.0,True,2837.0,0.3238814969459082
Clarins,19760335003,Clarins Бальзам д/тела увлажняющий 200мл,Уход,Уход за телом,Крем для тела,,Люкс,1871,,2570.0,2659.0,2677.0,,,,2748.0,3621.0,2784.0,1.06,brand_cat3,3854.26,2570.0,iledebeaute.ru,2078.8888888888887,2569.0,True,2569.0,0.3334647896094193
Clarins,19000360001,CLARINS Рефил крема д/сухой кожи лица дневного Extra-Firming 50мл,Уход,Уход за лицом,Основной уход,Крем для лица,Люкс,2584,,,3550.0,,,,,,,3571.0,1.03,brand,5245.52,3550.0,rivegauche.ru,2871.111111111111,3549.0,True,3549.0,0.32342265399807846
Clarins,19000391731,CLARINS Набор д/лица NUTRI-LUMIERE,Уход,Наборы_уход,Подарочные наборы_уход,,Люкс,5555,,,,,,,,7639.0,,,0.97,brand_cat2,10943.35,7639.0,lamoda.ru,6172.222222222222,7638.0,True,7638.0,0.30204187931483506
Clarins,14036200007,Clarins Крем д/лица тональный с легким покрытием Skin Illusion SPF15 30мл тон 100.5,Макияж,Лицо,Тональные основы,Жидкие тональные основы,Люкс,1791,,3141.0,3141.0,2469.0,,,,3046.0,,3141.0,1.03,brand,3635.7300000000005,2469.0,Ozon,1990.0,2468.0,True,2468.0,0.32118171591399813
Clarins,19000360002,CLARINS Крем д/лица дневной Extra-Firming SPF15 50мл,Уход,Уход за лицом,Основной уход,Крем для лица,Люкс,7108,,,,,,,,,,9822.0,1.03,brand,14429.240000000002,9822.0,visagehall.ru,7897.777777777777,9821.0,True,9821.0,0.31936817185104693
Vivienne Sabo,19000128398,Vivienne Sabo Блеск д/губ Tropique 06 3мл,Макияж,Губы,Блеск для губ,,Массмаркет,180,274.0,246.0,250.0,195.0,209.0,268.0,,304.0,,,0.38,brand_cat3,248.39999999999998,195.0,Ozon,200.0,194.0,False,200.0,0.19484702093397743
