Бренд AX 1,Выручка_W14,Выручка_W15,Маржа_руб_W14,Маржа_руб_W15,Маржинальность_W14,Маржинальность_W15,ΔВыручка,ΔМаржа_руб,ΔМаржинальность_п.п._view,comment
Clarins,1329934371.9199996,974711947.7500001,121486276.25718327,142214038.38108572,0.09134757234809712,0.1459036577004816,-355222424.1699995,20727762.123902455,5.456,
Cle De Peau,158152134.17999998,126510755.28999999,13319630.13368319,10696130.645154297,0.08422036289768639,0.08454720407474929,-31641378.889999986,-2623499.4885288924,0.033,
Clinique,485396784.13999987,498201172.67000014,82392996.64982776,69815982.71006192,0.1697435981076951,0.14013612680977536,12804388.53000027,-12577013.93976584,-2.961,
Darphin,49670121.31,37508782.01,7198080.495981743,5087257.094253995,0.14491771524086383,0.13562842677476736,-12161339.300000004,-2110823.401727747,-0.929,
Dr Barbara Sturm,41725673.52,27390688.11,9318365.229858901,5333922.580791988,0.22332450129037248,0.19473488797985472,-14334985.410000004,-3984442.649066913,-2.859,
Dr Brandt,20053959.99,0.0,2734412.432862995,0.0,0.13635274201337405,,-20053959.99,-2734412.432862995,,Продажи пропали в W-1 (в W-2 были)
ELEMIS,127289496.17000002,142541743.16,28778660.869367316,32085189.854346815,0.22608826128852225,0.22509328946771676,15252246.98999998,3306528.984979499,-0.099,
Ecooking,60800265.719999984,61331195.51999999,18544622.43513882,18412018.0336823,0.30500890441073597,0.30020641009155247,530929.8000000045,-132604.40145651996,-0.48,
Estee Lauder,328740954.3700002,325930625.42000014,35615690.98046792,34119352.47511518,0.10833968359288214,0.10468286750024905,-2810328.9500000477,-1496338.505352743,-0.366,
FILORGA,60160904.530000016,43946338.03,12589842.044606283,9418020.913063271,0.2092694939174027,0.21430729692731285,-16214566.500000015,-3171821.1315430123,0.504,
FOREO,74808841.77999999,76494007.54,15804250.159308145,14174309.96358671,0.21126179450533056,0.18529961260265682,1685165.7600000203,-1629940.1957214344,-2.596,
Giorgio Armani,0.0,16306263.340000002,0.0,2302671.306326809,,0.1412139162918001,16306263.340000002,2302671.306326809,,Новый бренд в W-1 (в W-2 продаж не было)
Givenchy,17931399.810000002,15352372.07,1886594.4180700956,1734030.1081019572,0.10521177588254864,0.11294867660811957,-2579027.740000002,-152564.30996813835,0.774,
Glam Glow,62879247.56999999,73313744.34,7796412.74047252,9220321.46669503,0.12399023591675781,0.1257652511094624,10434496.77000001,1423908.7262225095,0.178,
Grown Alchemist,15288583.5,0.0,3114570.5962676383,0.0,0.20371871575071937,,-15288583.5,-3114570.5962676383,,Продажи пропали в W-1 (в W-2 были)
Guam,116255405.2,124585676.5,17135661.306326807,18617540.48247608,0.14739668471197076,0.14943564144371027,8330271.299999997,1481879.1761492752,0.204,
Guerlain,65019238.26,81926827.48,5644620.621756938,7770059.262175699,0.08681462245351347,0.0948414518317889,16907589.220000006,2125438.6404187605,0.803,
Helena Rubinstein,48107733.580000006,35725576.31,6253985.210286754,2879631.9963586708,0.12999958104213716,0.08060421394945079,-12382157.270000003,-3374353.2139280834,-4.94,
James Read,44271548.629999995,54699468.030000016,10164563.782430585,12583433.786982248,0.22959584873303282,0.23004673062050332,10427919.40000002,2418870.004551662,0.045,
Kenzo,30500823.74999999,39593275.370000005,2725299.594446974,2067425.656804736,0.08935167183630491,0.052216585707663715,9092451.620000016,-657873.9376422379,-3.714,
Kiehls,185615839.17999998,206567847.8699999,35881791.59763313,39752716.93218027,0.19331212118615024,0.19244387421414197,20952008.68999991,3870925.3345471397,-0.087,
