Бренд AX 1,ΔВыручка,ΔМаржа_руб,ΔМаржинальность_п.п.,effect_total,effect_margin,effect_mix,effect_total_п.п.,effect_margin_п.п.,effect_mix_п.п.
Ecooking,530929.8000000045,-132604.40145651996,-0.48024943191835034,5.225386100123099e-05,-3.519134419264254e-05,8.744520519387353e-05,0.005,-0.004,0.009
Estee Lauder,-2810328.9500000477,-1496338.505352743,-0.3656816092633089,-5.0921217569543405e-05,-0.00014361849481236383,9.269727724282043e-05,-0.005,-0.014,0.009
FILORGA,-16214566.500000015,-3171821.1315430123,0.5037803009910136,-0.0003399919318319084,3.139016048668698e-05,-0.0003713820923185954,-0.034,0.003,-0.037
FOREO,1685165.7600000203,-1629940.1957214344,-2.596218190267374,-0.00014028114591055476,-0.00023570840292309306,9.54272570125383e-05,-0.014,-0.024,0.01
Giorgio Armani,16306263.340000002,2302671.306326809,,0.00028054303356863356,0.00014027151678431678,0.00014027151678431678,0.028,0.014,0.014
Givenchy,-2579027.740000002,-152564.30996813835,0.7736900725570928,-1.1627991039903698e-05,1.5431011144811038e-05,-2.7059002184714736e-05,-0.001,0.002,-0.003
Glam Glow,10434496.77000001,1423908.7262225095,0.17750151927045932,0.0002022404206603919,1.4520462011864016e-05,0.0001877199586485279,0.02,0.001,0.019
Grown Alchemist,-15288583.5,-3114570.5962676383,,-0.0003679703636870526,-0.0001839851818435263,-0.0001839851818435263,-0.037,-0.018,-0.018
Guam,8330271.299999997,1481879.1761492752,0.20389567317395108,0.00024375487793093558,2.9476902696563115e-05,0.00021427797523437245,0.024,0.003,0.021
Guerlain,16907589.220000006,2125438.6404187605,0.8026829378275424,0.00027977264677611613,7.08894925472431e-05,0.00020888315422887307,0.028,0.007,0.021
Helena Rubinstein,-12382157.270000003,-3374353.2139280834,-4.939536709268637,-0.00038803961289263434,-0.00024787235969940665,-0.00014016725319322768,-0.039,-0.025,-0.014
James Read,10427919.40000002,2418870.004551662,0.045088188747050006,0.00033219617380682634,2.6815510590094723e-06,0.00032951462274781685,0.033,0.0,0.033
Kenzo,9092451.620000016,-657873.9376422379,-3.7135086128641195,-7.00978349067171e-05,-0.00015647445170158416,8.637661679486705e-05,-0.007,-0.016,0.009
Kiehls,20952008.68999991,3870925.3345471397,-0.08682469720082686,0.0006039741771940117,-2.044568813502784e-05,0.0006244198653290395,0.06,-0.002,0.062
La Mer,46010697.870000035,8121260.2275830805,0.059442781791060884,0.0011349308411168402,1.792915883555413e-05,0.001117001682281286,0.113,0.002,0.112
La Prairie,10189896.969999999,6045028.657259904,2.133301701981827,0.0008501303852872559,0.0005235679626529422,0.0003265624226343137,0.085,0.052,0.033
Lancaster,44311315.620000005,812062.0436959285,-4.4873443139489755,0.00014140407580607824,-0.000551276476742687,0.0006926805525487652,0.014,-0.055,0.069
Lancome,-37057479.349999756,1340171.963404648,2.5121095916624827,0.00025437568554338583,0.0006707714546237585,-0.00041639576908037264,0.025,0.067,-0.042
Loccitane,-809156.2499999702,1082917.9654073752,1.1735688988289388,0.00018190812688022035,0.0001433659931945593,3.854213368566105e-05,0.018,0.014,0.004
Lumene,-15602181.97999999,-2604220.0295858104,-0.6445146607278601,-0.0002733902273247887,-6.072001831983271e-05,-0.00021267020900495598,-0.027,-0.006,-0.021
MIXIT,-5136213.570000015,-964751.8798361435,-0.23891019273166447,-9.856743786215058e-05,-7.596886729258271e-06,-9.097055113289231e-05,-0.01,-0.001,-0.009
OK Beauty,21680162.320000038,3678495.521165233,0.2779522368737686,0.00048227273155803665,2.3009421789512845e-05,0.0004592633097685238,0.048,0.002,0.046
Omorovicza,7899663.860000007,1044384.6108329585,-0.9590172856841023,0.00014607137376534572,-3.7830846021103687e-05,0.0001839022197864494,0.015,-0.004,0.018
Payot,102293498.19000071,19668556.841146857,-0.6742403682718862,0.002608639967785391,-0.0002570775064189833,0.0028657174742043744,0.261,-0.026,0.287
Proraso,-2240578.830000002,-534073.6413290855,-0.2870280476989312,-5.191080859273294e-05,-5.17882695503271e-06,-4.6731981637700234e-05,-0.005,-0.001,-0.005
Rexaline,6919834.38000001,884554.8111060578,-0.015520998461365787,0.00014566171324032512,-1.5397187623850037e-06,0.00014720143200271012,0.015,-0.0,0.015
SENSAI,-35826294.59999998,-5581151.770596258,-0.24009827098724346,-0.0005921179300196308,-4.1322738462924574e-05,-0.0005507951915567062,-0.059,-0.004,-0.055
Shiseido,-85983063.19999838,-12670084.896948457,0.13882610915141036,-0.000705594444410523,0.00021822065172148711,-0.00092381509613201,-0.071,0.022,-0.092
Sisley,-94733503.91000006,-12335429.240782887,1.1568081092486138,-0.001330046454715757,0.000351582173087616,-0.0016816286278033728,-0.133,0.035,-0.168
Skyn Iceland,-1340409.3699999824,-569228.4524351321,-0.6104266543547704,-3.3863422256198524e-05,-4.2313742601608745e-05,8.450320345410218e-06,-0.003,-0.004,0.001
St.Barth,34587298.11000008,6431817.633136097,-0.27294401787250344,0.0008314326334322128,-2.7639077143065723e-05,0.0008590717105752785,0.083,-0.003,0.086
Swiss Line,4851268.640000001,1146929.9526627222,1.0476525853173324,0.00015294457221090224,2.757565518495318e-05,0.00012536891702594907,0.015,0.003,0.013
Thalgo,13685247.840000011,3655178.6035418008,2.1954015477539586,0.00047886931367195347,0.00018532580685876312,0.0002935435068131903,0.048,0.019,0.029
Valmont,75657954.07999995,14351054.355265442,1.0281760292937592,0.0018584665680551628,0.0002880543758642696,0.0015704121921908932,0.186,0.029,0.157
Zielinski&Rozen,2609123.900000006,1076593.0177514255,0.282715960294469,0.00027409576016326526,6.453161689123941e-05,0.00020956414327202586,0.027,0.006,0.021
